time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-02-28T05:12:24.100Z,37.5677,-118.8273,4.4,1.5,Md,,86.4,0.01796631,0.05,nc,nc71945475,2013-03-01T03:17:41.324Z,"15km SE of Mammoth Lakes, California",earthquake
2013-02-28T04:59:29.000Z,59.9793,-148.967,7.6,2.1,Ml,23,151.2,0.27218953,0.73,ak,ak10663203,2013-03-02T00:32:45.481Z,"29km ESE of Seward, Alaska",earthquake
2013-02-28T04:52:32.300Z,37.4925,-118.8388,9,1.8,Md,,111.6,0.08983153,0.05,nc,nc71945465,2013-03-01T02:52:08.255Z,"20km SE of Mammoth Lakes, California",earthquake
2013-02-28T04:48:31.000Z,52.4414,-168.805,4.9,2.5,Ml,6,313.2,0.53090433,0.49,ak,ak10665596,2013-03-02T00:32:47.121Z,"55km S of Nikolski, Alaska",earthquake
2013-02-28T04:43:07.000Z,62.0814,-150.7528,68.1,2,Ml,35,43.2,0.6171426,0.49,ak,ak10663197,2013-03-02T00:32:45.467Z,"43km SW of Talkeetna, Alaska",earthquake
2013-02-28T04:39:49.700Z,17.7817,-66.7713,10,2.3,Md,9,230.4,0.2173923,0.43,pr,pr13059001,2013-02-28T06:15:37.167Z,"24km SSE of Indios, Puerto Rico",earthquake
2013-02-28T04:20:07.700Z,38.8358,-122.828,2.6,1.4,Md,,46.8,0.01796631,0.07,nc,nc71945460,2013-03-06T23:43:02.256Z,"9km W of Cobb, California",earthquake
2013-02-28T03:59:38.700Z,36.292,-120.8418,8.5,1.9,Md,,104.4,0.07186522,0.08,nc,nc71945450,2013-03-01T02:03:20.527Z,"27km ENE of King City, California",earthquake
2013-02-28T03:48:01.000Z,62.1572,-151.1315,77.2,1.5,Ml,18,75.6,0.71595728,0.23,ak,ak10665594,2013-03-02T00:32:46.680Z,"56km WSW of Talkeetna, Alaska",earthquake
2013-02-28T03:28:39.000Z,63.1258,-151.5297,12.8,1.4,Ml,14,126,0.3763941,0.61,ak,ak10663186,2013-03-02T00:32:45.453Z,"115km NW of Talkeetna, Alaska",earthquake
2013-02-28T03:12:11.000Z,63.3221,-145.2498,-0.6,1.1,Ml,12,61.2,0.25332491,0.57,ak,ak10663181,2013-03-02T00:32:45.434Z,"61km S of Deltana, Alaska",earthquake
2013-02-28T03:11:54.200Z,-4.745,138.476,35.9,4.9,Mb,24,147.6,6.46248015,0.72,us,usc000fe8t,2013-06-10T21:21:45.156Z,"249km NW of Tanahmerah, Indonesia",earthquake
2013-02-28T03:09:44.000Z,-17.771,167.341,15.1,5.9,Mw,268,28.8,3.74597473,0.71,us,usc000fe8q,2013-09-23T20:01:46.000Z,"104km W of Port-Vila, Vanuatu",earthquake
2013-02-28T02:58:31.000Z,19.1548,-65.1566,93,3.1,Md,7,252,0.82195848,0.38,pr,pr13059000,2013-02-28T04:33:14.796Z,"93km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2013-02-28T02:58:07.340Z,38.249,-118.8496,0,1.06,ml,6,141,0.271,,nn,nn00404467,2013-03-01T19:36:40.651Z,"33km E of Bridgeport, California",earthquake
2013-02-28T02:26:27.800Z,32.3478,-115.3673,10,2.2,Ml,,198,0.08983153,0.3,ci,ci11249938,2013-03-01T02:05:30.844Z,"16km W of Delta, Mexico",earthquake
